Action,Quantity,Symbol,SecType,Exchange,Currency,TimeInForce,OrderType,BasketTag,Account,OrderRef,Algo allowPastEndTime,Algo catchUp,Algo endTime,Algo strategy
BUY,184,BROS,STK,SMART/AMEX,USD,DAY,MKT,Basket,U8518146,Basket,FALSE,FALSE,20231229 21:10:00 US/Eastern,Twap
BUY,40,DKS,STK,SMART/AMEX,USD,DAY,MKT,Basket,U8518146,Basket,FALSE,FALSE,20231229 21:10:00 US/Eastern,Twap
SELL,1072,SIRI,STK,SMART/AMEX,USD,DAY,MKT,Basket,U8518146,Basket,FALSE,FALSE,20231229 21:10:00 US/Eastern,Twap
SELL,398,PARA,STK,SMART/AMEX,USD,DAY,MKT,Basket,U8518146,Basket,FALSE,FALSE,20231229 21:10:00 US/Eastern,Twap
BUY,588,SOFI,STK,SMART/AMEX,USD,DAY,MKT,Basket,U8518146,Basket,FALSE,FALSE,20231229 21:10:00 US/Eastern,Twap
BUY,462,HOOD,STK,SMART/AMEX,USD,DAY,MKT,Basket,U8518146,Basket,FALSE,FALSE,20231229 21:10:00 US/Eastern,Twap
SELL,121,X,STK,SMART/AMEX,USD,DAY,MKT,Basket,U8518146,Basket,FALSE,FALSE,20231229 21:10:00 US/Eastern,Twap
BUY,644,NIO,STK,SMART/AMEX,USD,DAY,MKT,Basket,U8518146,Basket,FALSE,FALSE,20231229 21:10:00 US/Eastern,Twap
BUY,322,TOST,STK,SMART/AMEX,USD,DAY,MKT,Basket,U8518146,Basket,FALSE,FALSE,20231229 21:10:00 US/Eastern,Twap
SELL,408,KEY,STK,SMART/AMEX,USD,DAY,MKT,Basket,U8518146,Basket,FALSE,FALSE,20231229 21:10:00 US/Eastern,Twap
SELL,20,RH,STK,SMART/AMEX,USD,DAY,MKT,Basket,U8518146,Basket,FALSE,FALSE,20231229 21:10:00 US/Eastern,Twap
BUY,21,SMCI,STK,SMART/AMEX,USD,DAY,MKT,Basket,U8518146,Basket,FALSE,FALSE,20231229 21:10:00 US/Eastern,Twap
SELL,1406,LCID,STK,SMART/AMEX,USD,DAY,MKT,Basket,U8518146,Basket,FALSE,FALSE,20231229 21:10:00 US/Eastern,Twap
SELL,41,ALB,STK,SMART/AMEX,USD,DAY,MKT,Basket,U8518146,Basket,FALSE,FALSE,20231229 21:10:00 US/Eastern,Twap
SELL,251,RIVN,STK,SMART/AMEX,USD,DAY,MKT,Basket,U8518146,Basket,FALSE,FALSE,20231229 21:10:00 US/Eastern,Twap
BUY,71,BILL,STK,SMART/AMEX,USD,DAY,MKT,Basket,U8518146,Basket,FALSE,FALSE,20231229 21:10:00 US/Eastern,Twap
SELL,314,CCL,STK,SMART/AMEX,USD,DAY,MKT,Basket,U8518146,Basket,FALSE,FALSE,20231229 21:10:00 US/Eastern,Twap
BUY,235,PATH,STK,SMART/AMEX,USD,DAY,MKT,Basket,U8518146,Basket,FALSE,FALSE,20231229 21:10:00 US/Eastern,Twap
SELL,64,ROKU,STK,SMART/AMEX,USD,DAY,MKT,Basket,U8518146,Basket,FALSE,FALSE,20231229 21:10:00 US/Eastern,Twap
SELL,34,FSLR,STK,SMART/AMEX,USD,DAY,MKT,Basket,U8518146,Basket,FALSE,FALSE,20231229 21:10:00 US/Eastern,Twap
SELL,291,NCLH,STK,SMART/AMEX,USD,DAY,MKT,Basket,U8518146,Basket,FALSE,FALSE,20231229 21:10:00 US/Eastern,Twap
BUY,93,GTLB,STK,SMART/AMEX,USD,DAY,MKT,Basket,U8518146,Basket,FALSE,FALSE,20231229 21:10:00 US/Eastern,Twap
SELL,345,SNAP,STK,SMART/AMEX,USD,DAY,MKT,Basket,U8518146,Basket,FALSE,FALSE,20231229 21:10:00 US/Eastern,Twap
SELL,41,HES,STK,SMART/AMEX,USD,DAY,MKT,Basket,U8518146,Basket,FALSE,FALSE,20231229 21:10:00 US/Eastern,Twap
BUY,33,COIN,STK,SMART/AMEX,USD,DAY,MKT,Basket,U8518146,Basket,FALSE,FALSE,20231229 21:10:00 US/Eastern,Twap
BUY,334,GME,STK,SMART/AMEX,USD,DAY,MKT,Basket,U8518146,Basket,FALSE,FALSE,20231229 21:10:00 US/Eastern,Twap
BUY,124,CZR,STK,SMART/AMEX,USD,DAY,MKT,Basket,U8518146,Basket,FALSE,FALSE,20231229 21:10:00 US/Eastern,Twap
SELL,44,ENPH,STK,SMART/AMEX,USD,DAY,MKT,Basket,U8518146,Basket,FALSE,FALSE,20231229 21:10:00 US/Eastern,Twap
BUY,213,S,STK,SMART/AMEX,USD,DAY,MKT,Basket,U8518146,Basket,FALSE,FALSE,20231229 21:10:00 US/Eastern,Twap
SELL,96,AAP,STK,SMART/AMEX,USD,DAY,MKT,Basket,U8518146,Basket,FALSE,FALSE,20231229 21:10:00 US/Eastern,Twap
BUY,343,YPF,STK,SMART/AMEX,USD,DAY,MKT,Basket,U8518146,Basket,FALSE,FALSE,20231229 21:10:00 US/Eastern,Twap
BUY,971,KGC,STK,SMART/AMEX,USD,DAY,MKT,Basket,U8518146,Basket,FALSE,FALSE,20231229 21:10:00 US/Eastern,Twap
BUY,143,U,STK,SMART/AMEX,USD,DAY,MKT,Basket,U8518146,Basket,FALSE,FALSE,20231229 21:10:00 US/Eastern,Twap
SELL,62,SEDG,STK,SMART/AMEX,USD,DAY,MKT,Basket,U8518146,Basket,FALSE,FALSE,20231229 21:10:00 US/Eastern,Twap
